,FIPS,2008_perc
1091,21205,83.6
1092,21207,82.0
1093,21209,88.3
1094,21211,83.9
1095,21213,85.0
1096,21215,84.5
1097,21217,83.4
1098,21219,80.0
1099,21221,84.1
1100,21223,82.3
1101,21225,83.2
1102,21227,83.8
1103,21229,82.7
1104,21231,80.6
1105,21233,81.5
1106,21235,83.3
1107,21237,83.1
1108,21239,86.9
1109,22001,79.6
1110,22003,79.4
1111,22005,84.5
1112,22007,79.4
1113,22009,78.3
1114,22011,79.6
1115,22013,81.2
1116,22015,82.3
1117,22017,81.2
1118,22019,80.9
1119,22021,75.2
1120,22023,76.3
1121,22025,75.9
1122,22027,78.2
1123,22029,78.7
1124,22031,79.5
1125,22033,83.8
1126,22035,77.3
1127,22037,80.4
1128,22039,80.2
1129,22041,76.3
1130,22043,79.3
1131,22045,79.6
1132,22047,82.1
1133,22049,79.3
1134,22051,80.8
1135,22053,81.0
1136,22055,82.2
1137,22057,81.0
1138,22059,78.4
1139,22061,80.0
1140,22063,80.7
1141,22065,76.3
1142,22067,78.9
1143,22069,79.3
1144,22071,73.6
1145,22073,81.2
1146,22075,80.0
1147,22077,79.7
1148,22079,81.4
1149,22081,77.7
1150,22083,77.5
1151,22085,75.7
1152,22087,69.6
1153,22089,85.5
1154,22091,77.4
1155,22093,83.0
1156,22095,82.6
1157,22097,79.6
1158,22099,78.6
1159,22101,79.2
1160,22103,83.7
1161,22105,79.7
1162,22107,75.2
1163,22109,80.3
1164,22111,79.9
1165,22113,78.3
1166,22115,82.3
1167,22117,78.3
1168,22119,80.2
1169,22121,81.6
1170,22123,76.8
1171,22125,78.5
1172,22127,78.4
1173,23001,87.8
1174,23003,85.9
1175,23005,89.9
1176,23007,88.1
1177,23009,84.6
1178,23011,88.9
1179,23013,85.2
1180,23015,85.5
1181,23017,87.1
1182,23019,88.0
1183,23021,85.7
1184,23023,88.9
1185,23025,87.2
1186,23027,86.4
1187,23029,83.5
1188,23031,88.2
1189,24001,86.3
1190,24003,90.7
1191,24005,89.0
1192,24009,89.9
1193,24011,83.9
1194,24013,90.7
1195,24015,87.7
1196,24017,89.9
1197,24019,85.5
1198,24021,89.8
1199,24023,83.3
1200,24025,90.0
1201,24027,92.7
1202,24029,84.8
1203,24031,87.7
1204,24033,83.6
1205,24035,87.4
1206,24037,90.1
1207,24039,83.3
1208,24041,86.8
1209,24043,86.0
1210,24045,84.9
1211,24047,83.6
1212,24510,84.8
1213,25001,95.0
1214,25003,95.2
1215,25005,94.6
1216,25007,93.0
1217,25009,95.5
1218,25011,95.1
1219,25013,95.1
1220,25015,95.8
1221,25017,96.3
1222,25019,92.5
1223,25021,96.6
1224,25023,95.6
1225,25025,94.2
1226,25027,96.0
1227,26001,84.0
1228,26003,83.7
1229,26005,86.9
1230,26007,88.1
1231,26009,85.0
1232,26011,86.2
1233,26013,82.7
1234,26015,88.5
1235,26017,88.1
1236,26019,84.5
1237,26021,85.9
1238,26023,85.6
1239,26025,87.4
1240,26027,86.7
1241,26029,86.9
1242,26031,84.1
1243,26033,84.4
1244,26035,85.1
1245,26037,90.1
1246,26039,85.9
1247,26041,88.0
1248,26043,89.2
1249,26045,90.6
1250,26047,86.3
1251,26049,89.3
1252,26051,84.7
1253,26053,86.3
1254,26055,88.2
1255,26057,88.2
1256,26059,85.6
1257,26061,86.2
1258,26063,85.9
1259,26065,88.2
1260,26067,87.5
1261,26069,85.6
1262,26071,86.8
1263,26073,85.7
1264,26075,88.5
1265,26077,89.0
1266,26079,85.5
1267,26081,87.9
1268,26083,80.8
1269,26085,84.8
1270,26087,87.8
1271,26089,86.2
1272,26091,87.4
1273,26093,90.3
1274,26095,81.3
1275,26097,83.1
1276,26099,87.8
1277,26101,86.1
1278,26103,88.4
1279,26105,86.4
