,state,county,politics,color
114,North Dakota,Grant,"[['GOP', 61.1, 842], ['Dem', 38.9, 537]]",republican
115,Nevada,Lincoln,"[['GOP', 71.9, 1532], ['Dem', 16.3, 347], ['IAP', 7.6, 162], ['NPD', 4.2, 89]]",republican
116,Nevada,Lander,"[['GOP', 72.9, 1567], ['Dem', 16.8, 361], ['IAP', 6.3, 136], ['NPD', 4.0, 85]]",republican
117,Nevada,Douglas,"[['GOP', 64.5, 16629], ['Dem', 27.0, 6947], ['IAP', 4.4, 1137], ['NPD', 4.1, 1056]]",republican
118,Nevada,Carson City,"[['GOP', 58.3, 13488], ['Dem', 32.5, 7509], ['IAP', 5.0, 1153], ['NPD', 4.2, 982]]",republican
119,Nevada,Eureka,"[['GOP', 79.1, 636], ['Dem', 10.8, 87], ['IAP', 6.0, 48], ['NPD', 4.1, 33]]",republican
120,Nevada,Lyon,"[['GOP', 64.4, 13703], ['Dem', 25.4, 5404], ['IAP', 6.6, 1406], ['NPD', 3.6, 760]]",republican
121,Nevada,Mineral,"[['GOP', 52.4, 1059], ['Dem', 30.3, 612], ['IAP', 9.6, 193], ['NPD', 7.7, 156]]",republican
122,Nevada,Washoe,"[['GOP', 50.6, 93417], ['Dem', 39.4, 72812], ['IAP', 5.1, 9409], ['NPD', 4.9, 9055]]",republican
123,Nevada,Elko,"[['GOP', 74.8, 11839], ['Dem', 16.8, 2653], ['IAP', 5.6, 882], ['NPD', 2.9, 461]]",republican
124,Nevada,Pershing,"[['GOP', 64.3, 1194], ['Dem', 21.3, 396], ['IAP', 8.7, 161], ['NPD', 5.8, 107]]",republican
125,Nevada,Clark,"[['Dem', 50.0, 337244], ['GOP', 41.0, 276651], ['IAP', 4.6, 30758], ['NPD', 4.5, 30376]]",democrat
126,Nevada,White Pine,"[['GOP', 69.6, 2567], ['Dem', 22.4, 826], ['IAP', 5.0, 185], ['NPD', 3.0, 110]]",republican
127,Nevada,Nye,"[['GOP', 55.4, 9561], ['Dem', 30.5, 5267], ['IAP', 9.5, 1634], ['NPD', 4.7, 804]]",republican
128,Nevada,Esmeralda,"[['GOP', 71.0, 308], ['Dem', 14.3, 62], ['IAP', 8.8, 38], ['NPD', 6.0, 26]]",republican
129,Nevada,Storey,"[['GOP', 59.5, 1375], ['Dem', 29.1, 673], ['IAP', 7.1, 165], ['NPD', 4.2, 97]]",republican
130,Nevada,Humboldt,"[['GOP', 68.1, 3876], ['Dem', 19.8, 1124], ['IAP', 7.2, 412], ['NPD', 4.9, 279]]",republican
131,Nevada,Churchill,"[['GOP', 69.6, 7069], ['Dem', 19.8, 2013], ['IAP', 6.5, 665], ['NPD', 4.1, 416]]",republican
132,Michigan,Alcona,"[['Dem', 50.5, 3047], ['GOP', 46.6, 2812], ['Lib', 1.5, 88], ['UST', 0.6, 38], ['Grn', 0.5, 32], ['NLP', 0.3, 18]]",democrat
133,Michigan,Alger,"[['Dem', 56.6, 2575], ['GOP', 39.8, 1808], ['Lib', 1.9, 88], ['Grn', 0.7, 32], ['UST', 0.6, 27], ['NLP', 0.4, 18]]",democrat
134,Michigan,Iron,"[['Dem', 54.6, 3211], ['GOP', 41.6, 2448], ['Lib', 1.8, 106], ['UST', 0.8, 48], ['Grn', 0.7, 42], ['NLP', 0.5, 29]]",democrat
135,Michigan,Washtenaw,"[['Dem', 69.1, 122003], ['GOP', 27.5, 48506], ['Lib', 1.9, 3351], ['Grn', 1.0, 1721], ['UST', 0.3, 577], ['NLP', 0.2, 292]]",democrat
136,Michigan,Leelanau,"[['Dem', 50.4, 7089], ['GOP', 47.0, 6609], ['Lib', 1.5, 212], ['Grn', 0.6, 85], ['UST', 0.3, 41], ['NLP', 0.2, 35]]",democrat
137,Michigan,Kalamazoo,"[['Dem', 57.1, 69067], ['GOP', 39.4, 47607], ['Lib', 2.0, 2389], ['Grn', 0.8, 1000], ['UST', 0.5, 618], ['NLP', 0.2, 282]]",democrat
